Nationality,Requests received (excluding duplicates)
Afghani,4
Algerian,9
American,3
American and Libyan,1
Angolan,1
Antigua and Barbuda,1
Armenian,4
Azerbaijani,7
Bahamian,7
Bajan,2
Bangladeshi,11
Bosnian,2
Brazilian,8
Burundian,1
Cameroonian,4
Canadian,1
Chechen,69
Chinese,2
Colombian,6
Congo,2
Cyprus,1
Dagestani,1
Djiboutian,1
DRC,1
Egyptian,27
Eritrean,1
Ethiopian,3
Filipino,1
Georgian,3
Ghanaian,5
Guatemalan,1
Guinea,3
Guyanese,1
Haitian,11
Honduran,6
Hungarian,1
Indian,25
Indonesian,3
Iranian,24
Iraqi,32
Iraqi Kurdish,1
Israel,1
Ivory Coast,11
Jamaican,369
Jordanian,8
Kazakhstani,10
Kenyan,5
Kuwaiti,4
Kyrgyzstani,1
Lebanese,12
Liberian,3
Libyan,10
Malaysian,1
Mexican,4
Middle Eastern,1
Moldovan,1
Moroccan,8
Nigerian,61
Not known,10
Pakistani,35
Palestinian,8
Palestinian and Lebanese and Syrian,2
Panama,2
Peru,3
Qatari,1
Russian,30
Rwandan,4
Saint Lucian,1
Saudi,9
Senegali,6
Serbian,1
Sierra Leone,1
Singaporian,2
Somalian,8
South African,1
Sri Lankan,4
Stateless and Palestinian,1
Sudanese,5
Sumali,1
Syrian,74
Tajikistani,3
Tanzanian,5
Thailand,1
Trinidadian,5
Tunisian,7
Turkish,12
UAE,2
Ugandan,62
Ukrainian,9
Yemeni,25
Zambian,1
Zimbabwean,3
