Country,Self-identifier,Individuals traveled
Armenia,LGBT,1
Bahamas,Gay,2
Barbados,Lesbian,1
Barbados,Transwoman,1
Bangladesh,Gay,1
Chechnya,Gay,32
Chechnya,Gay couple,2
Chechnya,Gay man and family,15
Chechnya,Gay man and son,2
Chechnya,Lesbian,3
Chechnya,Lesbian and children,3
Egypt,Transwoman,1
Haiti,Gay,1
Honduras,Transwoman,1
Iraq,Gay,2
Iraq,HIV+ gay man,1
Iraq,Transwoman,1
Jamaica,Bisexual man,2
Jamaica,Gay,39
Jamaica,Gay / crossdresser,1
Jamaica,Gay couple,18
Jamaica,Gay couple - HIV +,2
Jamaica,HIV+ gay man,10
Jamaica,HIV+ transman,2
Jamaica,Lesbian,11
Jamaica,Lesbian and child,4
Jamaica,Lesbian couple,14
Jamaica,Lesbian couple and child,3
Jamaica,LGBTQI Activist,1
Jamaica,mixed group,10
Jamaica,Trans Feminine,1
Jamaica,Transgender,1
Jamaica,Transman,1
Jamaica,Transwoman and partner,2
Jordan,Transwoman,1
Libya,Gay,1
Morocco,Gay,1
Nigeria,Gay,1
Nigeria,Gay activist,1
Syria,HIV+ gay man,1
Syria,Trans,2
Trinidad,Gay,1
Trinidad,Gay / crossdresser,1
Trinidad,Gay / crossdresser / drag queen,1
Uganda,Bisexual man,1
Uganda,Gay,1
Yemen,Transman,1
