Country,Requests received,Individuals traveled
Afghanistan,4,
Algeria,9,
America,4,
Angola,1,
Antigua and Barbuda,1,
Armenia ,4,1
Azerbaijan ,7,
Bahamas ,7,2
Baja,2,
Bangladesh,11,1
Barbados,,2
Bosnia and Herzegovina,2,
Brazil,8,
Brunei Darussalam,1,
Cameroon,4,
Canada,1,
Chechnya,69,57
China,2,
Colombia ,6,
Congo,2,
Cyprus ,1,
Dagestan,1,
Djibouti,1,
DRC,1,
Egypt,27,1
Eritrea,1,
Ethiopia,3,
Fiji ,1,
Georgia ,3,
Ghana,5,
Guatemala ,1,
Guinea,3,
Guyana,1,
Haiti ,11,1
Honduras ,6,1
Hungary ,1,
India,25,
Indonesia,3,
Iran,24,
Iraq,33,4
Israel ,1,
Ivory Coast,11,
Jamaica,369,122
Jordan ,8,1
Kazakhstan ,10,
Kenya,5,
Kuwait,4,
Kyrgyzstan ,1,
Lebanon,12,
Liberia,3,
Libya,10,1
Malaysia,1,
Mexico ,4,
Middle East,1,
Moldova ,1,
Morocco,8,1
Nigeria,61,2
Not Known,10,
Pakistan,35,
Palestina,11,
Panama ,2,
Peru ,3,
Qatar,1,
Russia,30,
Rwanda,4,
Saint Lucia,1,
Saudi Arabia,9,
Senegal,6,
Serbia ,1,
Sierra Leone,1,
Singapore,2,
Somalia,8,
South Africa,1,
Sri Lanka,4,
Sudan,5,
Sumali,1,
Syria,74,3
Tajikistan ,3,
Tanzania,5,
Thailand ,1,
Trinidad and Tobago,5,3
Tunisia,7,
Turkey ,12,
United Arab Emirates,2,
Uganda,62,2
Ukraine ,9,
Yemen,25,1
Zambia,1,
Zimbabwe,3,
